reach_id,dir_id,q_in,model_vintage,plan_name,terrain_name,time_stamp,time_stamp_exact
R5,R5,3400,2015,R5_Calib_TS_v2,Terrain,05May2019 12:00:00,05MAY2019 12 00 00 000
R5,R5,3800,2015,R5_Calib_TS_v2,Terrain,06May2019 23:00:00,06MAY2019 23 00 00 000
R5,R5,4200,2015,R5_Calib_TS_v2,Terrain,08May2019 12:00:00,08MAY2019 12 00 00 000
R5,R5,4600,2015,R5_Calib_TS_v2,Terrain,09May2019 23:00:00,09MAY2019 23 00 00 000
R5,R5,5000,2015,R5_Calib_TS_v2,Terrain,10May2019 12:00:00,11MAY2019 11 59 59 ___
R6,R6,100,2015,R6_Calib_TSv2,Terrain,06Apr2019 1:00:00,06APR2019 01 00 00
R6,R6,200,2015,R6_Calib_TSv2,Terrain,07Apr2019 12:00:00,07APR2019 12 00 00
R6,R6,400,2015,R6_Calib_TSv2,Terrain,08Apr2019 23:00:00,08APR2019 23 00 00
R6,R6,600,2015,R6_Calib_TSv2,Terrain,10Apr2019 12:00:00,10APR2019 12 00 00
R6,R6,800,2015,R6_Calib_TSv2,Terrain,11Apr2019 23:00:00,11APR2019 23 00 00
R6,R6,1000,2015,R6_Calib_TSv2,Terrain,13Apr2019 12:00:00,13APR2019 12 00 00
R6,R6,1400,2015,R6_Calib_TSv2,Terrain,14Apr2019 23:00:00,14APR2019 23 00 00
R6,R6,1800,2015,R6_Calib_TSv2,Terrain,16Apr2019 12:00:00,16APR2019 12 00 00
R6,R6,2200,2015,R6_Calib_TSv2,Terrain,17Apr2019 23:00:00,17APR2019 23 00 00
R6,R6,2600,2015,R6_Calib_TSv2,Terrain,19Apr2019 12:00:00,19APR2019 12 00 00
R6,R6,3000,2015,R6_Calib_TSv2,Terrain,20Apr2019 23:00:00,20APR2019 23 00 00
R6,R6,3400,2015,R6_Calib_TSv2,Terrain,22Apr2019 12:00:00,22APR2019 12 00 00
R6,R6,3800,2015,R6_Calib_TSv2,Terrain,23Apr2019 23:00:00,23APR2019 23 00 00
R6,R6,4200,2015,R6_Calib_TSv2,Terrain,25Apr2019 12:00:00,25APR2019 12 00 00
R6,R6,4600,2015,R6_Calib_TSv2,Terrain,26Apr2019 23:00:00,26APR2019 23 00 00
R6,R6,5000,2015,R6_Calib_TSv2,Terrain,28Apr2019 12:00:00,28APR2019 12 00 00
R7,R7,100,2015,R7_Calib_TS,Terrain,01Apr2019 9:00:00,01APR2019 09 00 00
R7,R7,200,2015,R7_Calib_TS,Terrain,01Apr2019 21:00:00,01APR2019 21 00 00
R7,R7,400,2015,R7_Calib_TS,Terrain,02Apr2019 9:00:00,02APR2019 09 00 00
R7,R7,600,2015,R7_Calib_TS,Terrain,02Apr2019 21:00:00,02APR2019 21 00 00
R7,R7,800,2015,R7_Calib_TS,Terrain,03Apr2019 9:00:00,03APR2019 09 00 00
R7,R7,1000,2015,R7_Calib_TS,Terrain,03Apr2019 21:00:00,03APR2019 21 00 00
R7,R7,1400,2015,R7_Calib_TS,Terrain,04Apr2019 9:00:00,04APR2019 09 00 00
R7,R7,1800,2015,R7_Calib_TS,Terrain,04Apr2019 21:00:00,04APR2019 21 00 00
R7,R7,2200,2015,R7_Calib_TS,Terrain,05Apr2019 9:00:00,05APR2019 09 00 00
R7,R7,2600,2015,R7_Calib_TS,Terrain,05Apr2019 21:00:00,05APR2019 21 00 00
R7,R7,3000,2015,R7_Calib_TS,Terrain,06Apr2019 9:00:00,06APR2019 09 00 00
R7,R7,3400,2015,R7_Calib_TS,Terrain,06Apr2019 21:00:00,06APR2019 21 00 00
R7,R7,3800,2015,R7_Calib_TS,Terrain,07Apr2019 9:00:00,07APR2019 09 00 00
R7,R7,4200,2015,R7_Calib_TS,Terrain,07Apr2019 21:00:00,07APR2019 21 00 00
R7,R7,4600,2015,R7_Calib_TS,Terrain,08Apr2019 9:00:00,08APR2019 09 00 00
R7,R7,5000,2015,R7_Calib_TS,Terrain,08Apr2019 21:00:00,08APR2019 21 00 00
R7,R7new,100,2023,R7_Calib_TS,Terrain_newR7,01Apr2019 9:00:00,01APR2019 09 00 00
R7,R7new,200,2023,R7_Calib_TS,Terrain_newR7,01Apr2019 21:00:00,01APR2019 21 00 00
R7,R7new,400,2023,R7_Calib_TS,Terrain_newR7,02Apr2019 9:00:00,02APR2019 09 00 00
R7,R7new,600,2023,R7_Calib_TS,Terrain_newR7,02Apr2019 21:00:00,02APR2019 21 00 00
R7,R7new,800,2023,R7_Calib_TS,Terrain_newR7,03Apr2019 9:00:00,03APR2019 09 00 00
R7,R7new,1000,2023,R7_Calib_TS,Terrain_newR7,03Apr2019 21:00:00,03APR2019 21 00 00
R7,R7new,1400,2023,R7_Calib_TS,Terrain_newR7,04Apr2019 9:00:00,04APR2019 09 00 00
R7,R7new,1800,2023,R7_Calib_TS,Terrain_newR7,04Apr2019 21:00:00,04APR2019 21 00 00
R7,R7new,2200,2023,R7_Calib_TS,Terrain_newR7,05Apr2019 9:00:00,05APR2019 09 00 00
R7,R7new,2600,2023,R7_Calib_TS,Terrain_newR7,05Apr2019 21:00:00,05APR2019 21 00 00
R7,R7new,3000,2023,R7_Calib_TS,Terrain_newR7,06Apr2019 9:00:00,06APR2019 09 00 00
R7,R7new,3400,2023,R7_Calib_TS,Terrain_newR7,06Apr2019 21:00:00,06APR2019 21 00 00
R7,R7new,3800,2023,R7_Calib_TS,Terrain_newR7,07Apr2019 9:00:00,07APR2019 09 00 00
R7,R7new,4200,2023,R7_Calib_TS,Terrain_newR7,07Apr2019 21:00:00,07APR2019 21 00 00
R7,R7new,4600,2023,R7_Calib_TS,Terrain_newR7,08Apr2019 9:00:00,08APR2019 09 00 00
R7,R7new,5000,2023,R7_Calib_TS,Terrain_newR7,08Apr2019 21:00:00,08APR2019 21 00 00
