JPE_redd_id,date,survey_method,longitude,latitude,reach,reach_sub_unit,river_mile,redd_loc,pre_redd_substrate_size,redd_substrate_size,tail_substrate_size,fish_guarding,redd_measured,why_not_measured,pre_redd_depth,redd_pit_depth,redd_tail_depth,redd_length,redd_width,flow_meter,flow_fps,start_number_flow_meter,end_number_flow_meter,flow_meter_time,start_number_flow_meter_80,end_number_flow_meter_80,flow_meter_time_80,survey,run,species,age_index,age,date_measured,tailspill,fork
Redd_0157,2003-10-01,Snorkel,-122,40,R2,NA,1,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0158,2003-10-01,Snorkel,-122,40,R2,NA,1,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0159,2003-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0160,2003-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0161,2003-10-01,Snorkel,-122,40,R3,NA,0,RL,NA,NA,NA,UNK,TRUE,UNK,19,20,11,282,72,Flow Bomb,1,746000,747587,100,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0162,2003-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0163,2003-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0164,2003-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0165,2003-10-01,Snorkel,-122,40,R2,NA,0,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0166,2003-10-01,Snorkel,-122,40,R2,NA,3,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0167,2003-10-01,Snorkel,-122,40,R2,NA,2,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
